Timestamp,Window_Title,Hour_of_Day,Day_of_Week,Is_Evening,Is_Early_Morning,Minute_of_Day,Session_Duration_Seconds,Total_Session_Duration_Seconds,Consecutive_Window_Count,Seconds_Since_Last_Switch,Total_Switches_So_Far,Unique_Windows_Last_10,Is_First_in_Hour,Cumulative_Work_Seconds,Time_Bucket,Switches_Last_15min,Switching_Rate_Per_Hour,Session_Length_vs_Average,Is_Extended_Session,Is_Brief_Session,Category,Confidence_Reason,App_Name,App_Type,Duration_Seconds,FQS_Score,Previous_Category,Switch_Cost,CSC_Score
2025-11-08 01:04:56,Google Gemini - Google Chrome,1,Saturday,False,True,64,30,35,6,25,7,3,0,50,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:05:01,Google Gemini - Google Chrome,1,Saturday,False,True,65,35,35,7,30,7,3,0,55,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:05:06,Hack Princeton,1,Saturday,False,True,65,5,35,1,0,7,3,0,60,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:05:11,Hack Princeton,1,Saturday,False,True,65,10,35,2,5,7,3,0,65,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:16,Hack Princeton,1,Saturday,False,True,65,15,35,3,10,7,2,0,70,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:21,Hack Princeton,1,Saturday,False,True,65,20,35,4,15,7,2,0,75,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:26,Hack Princeton,1,Saturday,False,True,65,25,35,5,20,7,2,0,80,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:31,Hack Princeton,1,Saturday,False,True,65,30,35,6,25,7,2,0,85,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:36,Hack Princeton,1,Saturday,False,True,65,35,35,7,30,7,2,0,90,Night,5,20.0,0.3692480359147025,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:41,Google Gemini - Google Chrome,1,Saturday,False,True,65,5,5,1,0,1,2,0,95,Night,6,24.0,0.052749719416386,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:05:46,Hack Princeton,1,Saturday,False,True,65,5,10,1,0,2,2,0,100,Night,7,28.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:05:51,Hack Princeton,1,Saturday,False,True,65,10,10,2,5,2,2,0,105,Night,7,28.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:05:56,Google Gemini - Google Chrome,1,Saturday,False,True,65,5,10,1,0,2,2,0,110,Night,8,32.0,0.1054994388327721,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:06:01,Google Gemini - Google Chrome,1,Saturday,False,True,66,10,10,2,5,2,2,0,115,Night,8,32.0,0.1054994388327721,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:06:06,Hack Princeton,1,Saturday,False,True,66,5,25,1,0,5,2,0,120,Night,9,36.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:06:11,Hack Princeton,1,Saturday,False,True,66,10,25,2,5,5,2,0,125,Night,9,36.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:06:16,Hack Princeton,1,Saturday,False,True,66,15,25,3,10,5,2,0,130,Night,9,36.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:06:21,Hack Princeton,1,Saturday,False,True,66,20,25,4,15,5,2,0,135,Night,9,36.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:06:26,Hack Princeton,1,Saturday,False,True,66,25,25,5,20,5,2,0,140,Night,9,36.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:06:31,Google Gemini - Google Chrome,1,Saturday,False,True,66,5,10,1,0,2,2,0,145,Night,10,40.0,0.1054994388327721,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:06:36,Google Gemini - Google Chrome,1,Saturday,False,True,66,10,10,2,5,2,2,0,150,Night,10,40.0,0.1054994388327721,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:06:41,Hack Princeton,1,Saturday,False,True,66,5,25,1,0,5,2,0,155,Night,11,44.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:06:46,Hack Princeton,1,Saturday,False,True,66,10,25,2,5,5,2,0,160,Night,11,44.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:06:51,Hack Princeton,1,Saturday,False,True,66,15,25,3,10,5,2,0,165,Night,11,44.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:06:56,Hack Princeton,1,Saturday,False,True,66,20,25,4,15,5,2,0,170,Night,11,44.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:07:01,Hack Princeton,1,Saturday,False,True,67,25,25,5,20,5,2,0,175,Night,11,44.0,0.2637485970819304,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:07:06,Google Gemini - Google Chrome,1,Saturday,False,True,67,5,5,1,0,1,2,0,180,Night,12,48.0,0.052749719416386,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:07:11,Hack Princeton,1,Saturday,False,True,67,5,10,1,0,2,2,0,185,Night,13,52.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:07:16,Hack Princeton,1,Saturday,False,True,67,10,10,2,5,2,2,0,190,Night,13,52.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:07:21,Google Gemini - Google Chrome,1,Saturday,False,True,67,5,5,1,0,1,2,0,195,Night,14,56.0,0.052749719416386,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:07:26,Hack Princeton,1,Saturday,False,True,67,5,10,1,0,2,2,0,200,Night,15,60.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:07:31,Hack Princeton,1,Saturday,False,True,67,10,10,2,5,2,2,0,205,Night,15,60.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:07:36,Google Gemini - Google Chrome,1,Saturday,False,True,67,5,5,1,0,1,2,0,210,Night,16,64.0,0.052749719416386,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:07:41,Hack Princeton,1,Saturday,False,True,67,5,10,1,0,2,2,0,215,Night,17,68.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:07:46,Hack Princeton,1,Saturday,False,True,67,10,10,2,5,2,2,0,220,Night,17,68.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:07:51,Google Gemini - Google Chrome,1,Saturday,False,True,67,5,25,1,0,5,2,0,225,Night,18,72.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:07:56,Google Gemini - Google Chrome,1,Saturday,False,True,67,10,25,2,5,5,2,0,230,Night,18,72.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:01,Google Gemini - Google Chrome,1,Saturday,False,True,68,15,25,3,10,5,2,0,235,Night,18,72.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:06,Google Gemini - Google Chrome,1,Saturday,False,True,68,20,25,4,15,5,2,0,240,Night,18,72.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:11,Google Gemini - Google Chrome,1,Saturday,False,True,68,25,25,5,20,5,2,0,245,Night,18,72.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:16,Hack Princeton,1,Saturday,False,True,68,5,10,1,0,2,2,0,250,Night,19,76.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:08:21,Hack Princeton,1,Saturday,False,True,68,10,10,2,5,2,2,0,255,Night,19,76.0,0.1054994388327721,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:08:26,Google Gemini - Google Chrome,1,Saturday,False,True,68,5,25,1,0,5,2,0,260,Night,20,80.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:08:31,Google Gemini - Google Chrome,1,Saturday,False,True,68,10,25,2,5,5,2,0,265,Night,20,80.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:36,Google Gemini - Google Chrome,1,Saturday,False,True,68,15,25,3,10,5,2,0,270,Night,20,80.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:41,Google Gemini - Google Chrome,1,Saturday,False,True,68,20,25,4,15,5,2,0,275,Night,20,80.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:46,Google Gemini - Google Chrome,1,Saturday,False,True,68,25,25,5,20,5,2,0,280,Night,20,80.0,0.2637485970819304,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:08:51,Hack Princeton,1,Saturday,False,True,68,5,5,1,0,1,2,0,285,Night,21,84.0,0.052749719416386,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:08:56,Google Gemini - Google Chrome,1,Saturday,False,True,68,5,5,1,0,1,2,0,290,Night,22,88.0,0.052749719416386,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:09:01,Hack Princeton,1,Saturday,False,True,69,5,15,1,0,3,2,0,295,Night,23,92.0,0.1582491582491582,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,Low Load,15.0,1.0512902198152279
2025-11-08 01:09:06,Hack Princeton,1,Saturday,False,True,69,10,15,2,5,3,2,0,300,Night,23,92.0,0.1582491582491582,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:09:11,Hack Princeton,1,Saturday,False,True,69,15,15,3,10,3,2,0,305,Night,23,92.0,0.1582491582491582,False,True,High Load,"The title 'Hack Princeton' suggests active participation in a hackathon, which involves coding, problem-solving, and creative thinking, all of which are high-load activities.",Hack Princeton,Other,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:09:16,Google Gemini - Google Chrome,1,Saturday,False,True,69,5,15,1,0,3,2,0,310,Night,24,96.0,0.1582491582491582,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:09:21,Google Gemini - Google Chrome,1,Saturday,False,True,69,10,15,2,5,3,2,0,315,Night,24,96.0,0.1582491582491582,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:26,Google Gemini - Google Chrome,1,Saturday,False,True,69,15,15,3,10,3,2,0,320,Night,24,96.0,0.1582491582491582,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:31,Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,69,5,10,1,0,2,3,0,325,Night,25,100.0,0.1054994388327721,False,True,Low Load,"The window title indicates passive consumption of information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:36,Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,69,10,10,2,5,2,3,0,330,Night,25,100.0,0.1054994388327721,False,True,Low Load,"The window title indicates passive consumption of information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:41,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,69,5,55,1,0,11,4,0,335,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:46,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,69,10,55,2,5,11,4,0,340,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:51,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,69,15,55,3,10,11,4,0,345,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:09:56,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,69,20,55,4,15,11,4,0,350,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:01,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,25,55,5,20,11,3,0,355,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:06,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,30,55,6,25,11,3,0,360,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:11,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,35,55,7,30,11,3,0,365,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:16,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,40,55,8,35,11,2,0,370,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:21,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,45,55,9,40,11,2,0,375,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:26,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,50,55,10,45,11,1,0,380,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:31,cognitive Digital Health Coach - Google Search - Google Chrome,1,Saturday,False,True,70,55,55,11,50,11,1,0,385,Night,26,104.0,0.5802469135802469,False,False,Low Load,"The user is passively consuming information through a Google search, which is a routine browsing activity requiring minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:10:36,consolidate meaning - Google Search - Google Chrome,1,Saturday,False,True,70,5,5,1,0,1,2,0,390,Night,27,108.0,0.052749719416386,False,True,Low Load,"The user is likely passively consuming information or casually browsing, as indicated by the Google Search in Chrome.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
